,#12_RollingMean_3
2018-10-01,
2018-11-01,
2018-12-01,15878.976666666667
2019-01-01,13478.199999999999
2019-02-01,24526.446666666667
2019-03-01,21938.91333333333
2019-04-01,22048.67
2019-05-01,18799.756666666668
2019-06-01,30178.983333333334
2019-07-01,30014.05333333333
2019-08-01,28263.719999999998
2019-09-01,111008.62666666666
2019-10-01,150842.36333333334
2019-11-01,251417.45666666667
2019-12-01,270425.75333333336
2020-01-01,294590.9633333333
2020-02-01,295757.98666666663
2020-03-01,241197.52
2020-04-01,196636.41333333333
2020-05-01,139805.04333333333
2020-06-01,135431.37333333332
2020-07-01,145645.77333333335
2020-08-01,149032.09333333335
2020-09-01,147672.73333333334
2020-10-01,112712.66666666667
2020-11-01,206559.2866666667
2020-12-01,240689.08333333334
2021-01-01,269808.75333333336
2021-02-01,217222.93666666668
2021-03-01,221110.98666666666
2021-04-01,318615.37
