,#12
2018-10-01,28686.33
2018-11-01,1070.0
2018-12-01,17880.6
2019-01-01,21484.0
2019-02-01,34214.74
2019-03-01,10118.0
2019-04-01,21813.27
2019-05-01,24468.0
2019-06-01,44255.68
2019-07-01,21318.48
2019-08-01,19217.0
2019-09-01,292490.4
2019-10-01,140819.69
2019-11-01,320942.27999999997
2019-12-01,349515.29
2020-01-01,213315.32
2020-02-01,324443.35
2020-03-01,185833.89
2020-04-01,79632.0
2020-05-01,153949.24
2020-06-01,172712.88
2020-07-01,110275.2
2020-08-01,164108.2
2020-09-01,168634.8
2020-10-01,5395.0
2020-11-01,445648.06000000006
2020-12-01,271024.19
2021-01-01,92754.01
2021-02-01,287890.61
2021-03-01,282688.33999999997
2021-04-01,385267.16000000003
