,#13_RollingMean_3
2018-10-01,
2018-11-01,
2018-12-01,37167.09333333333
2019-01-01,37011.15666666667
2019-02-01,25164.033333333336
2019-03-01,23908.97333333333
2019-04-01,17339.056666666667
2019-05-01,7309.616666666666
2019-06-01,14962.686666666666
2019-07-01,26802.623333333333
2019-08-01,33451.72
2019-09-01,28369.0
2019-10-01,35951.06666666667
2019-11-01,42848.786666666674
2019-12-01,45225.02333333334
2020-01-01,29813.37
2020-02-01,19998.84
2020-03-01,18926.783333333333
2020-04-01,22658.956666666665
2020-05-01,19330.84
2020-06-01,14697.243333333332
2020-07-01,6706.94
2020-08-01,14015.88
2020-09-01,15916.566666666666
2020-10-01,16843.126666666667
2020-11-01,15167.793333333335
2020-12-01,20468.41
2021-01-01,20666.236666666668
2021-02-01,19354.95666666667
2021-03-01,29980.303333333333
2021-04-01,39315.916666666664
