,#12_RollingMean_12
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,44751.375
2019-10-01,54095.82166666666
2019-11-01,80751.84499999999
2019-12-01,108388.06916666667
2020-01-01,124374.0125
2020-02-01,148559.73
2020-03-01,163202.72083333333
2020-04-01,168020.94833333333
2020-05-01,178811.05166666667
2020-06-01,189515.81833333333
2020-07-01,196928.8783333333
2020-08-01,209003.145
2020-09-01,198681.84499999997
2020-10-01,187396.4541666667
2020-11-01,197788.6025
2020-12-01,191247.6775
2021-01-01,181200.9016666667
2021-02-01,178154.84
2021-03-01,186226.0441666667
2021-04-01,211695.64083333334
