,#36_RollingMean_12
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,13400.87
2019-10-01,12991.028333333334
2019-11-01,12433.0375
2019-12-01,11764.858333333332
2020-01-01,11464.548333333334
2020-02-01,11778.069166666666
2020-03-01,13522.019166666667
2020-04-01,15425.465000000002
2020-05-01,14820.796666666667
2020-06-01,25759.290833333333
2020-07-01,23302.223333333328
2020-08-01,24224.87083333333
2020-09-01,26581.916666666668
2020-10-01,28316.5825
2020-11-01,27417.021666666667
2020-12-01,27933.609166666665
2021-01-01,27276.061666666665
2021-02-01,27162.811666666665
2021-03-01,25757.41
2021-04-01,44623.863333333335
