,#16_RollingMean_3
2018-10-01,
2018-11-01,
2018-12-01,2157805.283333333
2019-01-01,2361058.723333333
2019-02-01,1987748.963333333
2019-03-01,1153024.8166666662
2019-04-01,913539.7199999996
2019-05-01,945435.2199999996
2019-06-01,315126.273333333
2019-07-01,329034.25999999966
2019-08-01,453109.8566666663
2019-09-01,581596.1166666663
2019-10-01,588069.0533333329
2019-11-01,443457.6199999997
2019-12-01,214635.95333333305
2020-01-01,247687.88333333307
2020-02-01,178013.7199999997
2020-03-01,209339.78333333306
2020-04-01,104583.19666666636
2020-05-01,142023.24999999968
2020-06-01,178274.26666666637
2020-07-01,291154.06999999966
2020-08-01,277203.31666666636
2020-09-01,257215.38333333304
2020-10-01,169250.70666666634
2020-11-01,171801.48666666637
2020-12-01,188769.03666666636
2021-01-01,153797.03666666636
2021-02-01,139151.2099999997
2021-03-01,155642.88333333304
2021-04-01,184093.09333333303
