,#3_Lag_1
2018-10-01,
2018-11-01,8089465.960000001
2018-12-01,11863001.51
2019-01-01,8736859.39
2019-02-01,10705300.629999999
2019-03-01,10167796.86
2019-04-01,11040544.57
2019-05-01,12317479.75
2019-06-01,12798945.18
2019-07-01,11546452.19
2019-08-01,13421550.83
2019-09-01,11359418.3
2019-10-01,16579668.11
2019-11-01,11382774.45
2019-12-01,13826060.48
2020-01-01,11077603.56
2020-02-01,11699896.34
2020-03-01,10041616.85
2020-04-01,12281515.46
2020-05-01,12008066.85
2020-06-01,10708632.18
2020-07-01,13321842.36
2020-08-01,12774946.290000001
2020-09-01,11373503.08
2020-10-01,15912683.17
2020-11-01,10003848.44
2020-12-01,15021617.790000001
2021-01-01,9755535.99
2021-02-01,3804319.7399999998
2021-03-01,16136114.379999999
2021-04-01,14128552.8
