,#20
2018-10-01,4563.14
2018-11-01,5798.139999999999
2018-12-01,918.65
2019-01-01,2398.04
2019-02-01,620.66
2019-03-01,3369.55
2019-04-01,3619.63
2019-05-01,938.9
2019-06-01,772.94
2019-07-01,577.6
2019-08-01,284.4
2019-09-01,664.57
2019-10-01,1566.0
2019-11-01,149.0
2019-12-01,0.0
2020-01-01,274.90999999999997
2020-02-01,0.0
2020-03-01,555.0
2020-04-01,224.0
2020-05-01,390.0
2020-06-01,983.1
2020-07-01,826.98
2020-08-01,2688.0
2020-09-01,2047.7
2020-10-01,938.9
2020-11-01,2979.54
2020-12-01,938.9
2021-01-01,0.0
2021-02-01,1387.0
2021-03-01,1076.6
2021-04-01,938.9
