,#14_RollingMean_6
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,8552.991666666667
2019-04-01,7591.325
2019-05-01,7698.225000000001
2019-06-01,18201.176666666666
2019-07-01,21373.326666666668
2019-08-01,18440.943333333333
2019-09-01,19326.935
2019-10-01,19556.693333333333
2019-11-01,17023.343333333334
2019-12-01,6520.391666666666
2020-01-01,3559.7116666666666
2020-02-01,5109.378333333333
2020-03-01,4688.37
2020-04-01,3983.3700000000003
2020-05-01,8999.82
2020-06-01,10459.228333333333
2020-07-01,12432.191666666666
2020-08-01,11768.758333333333
2020-09-01,10417.866666666667
2020-10-01,13192.941666666666
2020-11-01,8039.608333333334
2020-12-01,8542.275
2021-01-01,6581.441666666666
2021-02-01,5922.678333333334
2021-03-01,8189.175
2021-04-01,6827.508333333334
