,#36
2018-10-01,6474.6
2018-11-01,21617.61
2018-12-01,13924.52
2019-01-01,15444.39
2019-02-01,8051.15
2019-03-01,7373.419999999999
2019-04-01,4280.25
2019-05-01,16905.32
2019-06-01,15516.22
2019-07-01,33334.41
2019-08-01,1306.0
2019-09-01,16582.55
2019-10-01,1556.5
2019-11-01,14921.72
2019-12-01,5906.37
2020-01-01,11840.670000000002
2020-02-01,11813.4
2020-03-01,28300.82
2020-04-01,27121.6
2020-05-01,9649.3
2020-06-01,146778.15
2020-07-01,3849.6
2020-08-01,12377.77
2020-09-01,44867.100000000006
2020-10-01,22372.49
2020-11-01,4126.99
2020-12-01,12105.42
2021-01-01,3950.1
2021-02-01,10454.4
2021-03-01,11436.0
2021-04-01,253519.03999999998
