,#8_RollingMean_3
2018-10-01,
2018-11-01,
2018-12-01,461278.74
2019-01-01,393061.21
2019-02-01,340455.4766666667
2019-03-01,447054.69333333336
2019-04-01,459554.61000000004
2019-05-01,436331.7
2019-06-01,379471.49
2019-07-01,362164.94333333336
2019-08-01,395075.0633333333
2019-09-01,616401.1266666666
2019-10-01,531338.1533333333
2019-11-01,579800.2266666667
2019-12-01,382015.82666666666
2020-01-01,452675.11333333334
2020-02-01,380691.95333333337
2020-03-01,498866.96666666673
2020-04-01,491865.7933333334
2020-05-01,620456.6066666667
2020-06-01,538447.9966666667
2020-07-01,631911.9733333334
2020-08-01,699966.4333333332
2020-09-01,945908.3300000001
2020-10-01,802813.6333333333
2020-11-01,798656.0100000001
2020-12-01,706759.9566666667
2021-01-01,757408.87
2021-02-01,994419.25
2021-03-01,940299.48
2021-04-01,1195188.3233333335
