,#13_Lag_1
2018-10-01,
2018-11-01,27666.1
2018-12-01,68180.0
2019-01-01,15655.18
2019-02-01,27198.29
2019-03-01,32638.63
2019-04-01,11890.0
2019-05-01,7488.54
2019-06-01,2550.3100000000004
2019-07-01,34849.21
2019-08-01,43008.350000000006
2019-09-01,22497.6
2019-10-01,19601.050000000003
2019-11-01,65754.55
2019-12-01,43190.76
2020-01-01,26729.760000000002
2020-02-01,19519.59
2020-03-01,13747.169999999998
2020-04-01,23513.59
2020-05-01,30716.11
2020-06-01,3762.8199999999997
2020-07-01,9612.8
2020-08-01,6745.2
2020-09-01,25689.64
2020-10-01,15314.86
2020-11-01,9524.88
2020-12-01,20663.64
2021-01-01,31216.71
2021-02-01,10118.36
2021-03-01,16729.8
2021-04-01,63092.75
