,#9_RollingMean_12
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,5263.090833333333
2019-10-01,5041.064166666667
2019-11-01,6899.889166666667
2019-12-01,7534.169166666667
2020-01-01,8047.544166666667
2020-02-01,7813.445833333334
2020-03-01,6911.9783333333335
2020-04-01,6275.078333333334
2020-05-01,6204.248333333333
2020-06-01,6459.861666666667
2020-07-01,6391.2775
2020-08-01,6685.919166666667
2020-09-01,5766.176666666666
2020-10-01,9012.489166666666
2020-11-01,6634.1641666666665
2020-12-01,6717.0925
2021-01-01,6131.925833333334
2021-02-01,6931.700833333332
2021-03-01,9088.024166666666
2021-04-01,10357.783333333333
