,#16_Lag_1
2018-10-01,
2018-11-01,333196.87
2018-12-01,1377694.32
2019-01-01,4762524.66
2019-02-01,942957.19
2019-03-01,257765.04
2019-04-01,2258352.2199999997
2019-05-01,224501.9
2019-06-01,353451.54
2019-07-01,367425.38
2019-08-01,266225.86
2019-09-01,725678.3299999998
2019-10-01,752884.16
2019-11-01,285644.67
2019-12-01,291844.03
2020-01-01,66419.16000000003
2020-02-01,384800.46
2020-03-01,82821.54000000001
2020-04-01,160397.35
2020-05-01,70530.7
2020-06-01,195141.7
2020-07-01,269150.4
2020-08-01,409170.11
2020-09-01,153289.44
2020-10-01,209186.6
2020-11-01,145276.08000000002
2020-12-01,160941.78
2021-01-01,260089.25
2021-02-01,40360.08
2021-03-01,117004.3
2021-04-01,309564.27
